Course Code,Offering Unit/Department,Course Title,Course Description,Discipline Specific (Up to 5) - the dropdown list changes based on the Offering Unit/Department selection.,SMU Graduate Learning Outcomes,Grading Basis (e.g. Graded or Pass/Fail),Course Attributes,Requisites,Column2,Prerequisite_Codes,Corequisite_Codes,Antirequisite_Codes
SOCG402,SOSS,Guided Research in Social Science (Sociology),"This course provides students with the opportunity to develop research skills beyond the basic methods taught in the regular social science curriculum. Under the guidance of a faculty member, students will conduct empirical research work that may include components such as: formulating research questions and rigorous research designs, collecting and/or analysing primary or secondary data (through methods such as surveys, interviews, ethnography, or existing datasets), and writing scholarly research reports. The specific research methodology and focus will vary depending on the faculty member's expertise and the nature of the project. This hands-on research experience will allow students to learn more specialized techniques in conducting social research, including the use of research software. These skills will be useful for students interested in evidence-based policy work, postgraduate studies, and other research-oriented professions.",-,-,GRD - Graded,"AREA - Sociology Electives, RQCP - PSYC110/IDIS100, RQPR - Open to Undergraduates only",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=SOCG402,,,
SPRT001,SOSS,Principles of Coaching in Sports,"This course will provide the essential concepts and principles of effective practices in sports coaching.  Important topics in sports science, growth and development, planning and mental training will be addressed. Students of the course will be exposed to the wide array of necessary knowledge, skills and right perspectives of an effective coach.",-,-,GRD - Graded,"AREA - General Education - Arts, ENRL - SS Enrolment: 6 ISEP; 1 SUSEP",No,https://ccms.smu.edu.sg/courses?page=1&cq=SPRT001,,,
SPRT002,SOSS,Introduction to Sport Management – Functional Areas and Issues,"This course is an essential introduction to management studies in the context of sport and its delivery.  The course examines common sport products and services and their delivery through sport organisations, whose legal identity and form are discussed.  The growing sportscape in Singapore and internationally provides opportunities for various management, business, and professional services to grow and evolve in a dynamic industry.

Sport management fundamental concepts and practices draw from business and management body of knowledge and best practices.  However, sport issues such as consumption of services and products, management of sport organisations, marketing and promotions are contextually different from other industries.  Thus, students will have the opportunities to examine the sport industry and its management in the course, and to relate to their own experiences and observations of the industry. 

The course will cover the functions, roles, and skills of management in regard to the production and delivery of sport as a commodity for consumption.",-,-,GRD - Graded,"AREA - General Education - Arts, ENRL - SS Enrolment: 6 ISEP; 1 SUSEP",No,https://ccms.smu.edu.sg/courses?page=1&cq=SPRT002,,,
SSCS400,SOSS,Capstone Seminar,"This is an integrative seminar which the BSocSc major is required to take in their final year of study.  Students will attend and participate in a series of seminars conducted by invited speakers who may be faculty members or practitioners.  This seminar provides an opportunity for the student to integrate the knowledge, skills and learning experiences acquired in the social science programme through relating academic knowledge to important practical applications.",Contact RO,Disciplinary knowledge,PNP - Pass/Fail,"AREA - Capstone Seminar, RQCU - Completed at least 25CUs, RQPR - Applicable for BSocSc only",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=SSCS400,,,
SSGS002,SOSS,Global Social Challenges,"By examining contemporary global social challenges, this course provides knowledge about processes we have come to associate with globalization and economic development. Global social challenges are societal processes and conditions such as urbanization, regional agglomeration, global health issues like epidemics, forced migration and labor mobility, climate change and the exhaustion of nonrenewable resources, global income inequality, poverty and slums, the emergence of specific forms of violence, ideological fundamentalism with global dimensions, the development of a global human rights agenda, a global civil society, development of media with global reach and new forms of media as well as spread of global pop culture.

The course will tackle the global social challenges from a multi-disciplinary perspective, incorporating knowledge from sociology, economic and social history, political sciences and policy analysis, as well as non-profit sector research.",-,-,GRD - Graded,"AREA - General Educatn (Not Appl for Intake 2015 onwards), AREA - Global & Regional Studies, AREA - Globalisation Cluster, ENRL - SS Enrolment: 6 ISEP; 1 SUSEP, TRCK - Public Policy, Devt, & Mgt Track (Humn&General Ed)",No,https://ccms.smu.edu.sg/courses?page=1&cq=SSGS002,,,
SSGS003,SOSS,Peer Mentoring and Facilitation,"This course aims to equip students with key facilitation skills that will be immediately useful for peer mentoring and other inter-personal effectiveness situations. The competencies acquired in this course will also be relevant in preparing students for work-life in future. The theoretical foundation of the course is derived from Egan's (2006) and Cox's (1998) texts. Topics covered include facilitation techniques and processes, active listening, attending skills, empathy skills, etc. The hands-on exercises and required readings of the course will be enriching and insightful in terms of personal development and growth. Students will also be exposed to a broad range of life issues beyond the confines of the classroom. It is designed to foster students' confidence in working with other individuals (whether the person is a peer, future supervisor or subordinate) in various situations including consulting, helping and even assisting those in distress. Students wishing to be involved in the Peer Helping Program should take this course as a prerequisite.",Contact RO,Disciplinary knowledge,GRD - Graded,"AREA - General Education, RQCX - MGMT226, RQCX - MGMT336, RQPR - Open to Undergraduates only",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=SSGS003,,,
SSOC110,SOSS,Sustainability Practicum,"The Sustainability Practicum is a required compulsory course for the Sustainable Societies major. Each section of the course will focus on 1-2 specific UN Sustainable Development Goals (SDGs) and a specific measurable indicator therein. Led by the faculty instructor, the practicum will be organised around a specific real-world problem that is set in collaboration with an external partner. The students will work on assignments and deliberation-focused class activities that engages with the chosen theme and will culminate into a final deliverable to the external partner (eg. in the form of a report, presentation etc.). 

All BSocSc students may also take this course to fulfil their Social Science Practicum requirement.","Climate Literacy, Environmental politics, Sustainability Frameworks, Sustainable Development, Environmental policy","Communication, Collaboration and leadership, Critical thinking & problem solving, Interdisciplinary knowledge, Understanding of global and Asian perspectives, Understanding of sustainability issues, Self-directed learning",PNP - Pass/Fail,"AREA - Grad Req - Sustainability (Intake 2024 onwards), AREA - PLE Core (Intake 2019 onwards), AREA - Political Science Core (Intake 2019 onwards), AREA - Psychology Core (Intake 2019 onwards), AREA - Sociology Core (Intake 2019 onwards), AREA - Sustainable Societies Core, ENRL - SS Enrolment: Open from BOSS 2",No,https://ccms.smu.edu.sg/courses?page=1&cq=SSOC110,,,
SSOC201,SOSS,Sustainable Societies Work-Study Elective,"The work-study elective is a collaboration between SMU and industry partners to provide students an opportunity to explore the principles, practices, and real-world applications of sustainability across various industries and sectors. Students will undertake a 6-month extended internship programme in a partner organization between January to June each year. The programme will allow students to engage in collaborative and substantial work projects while pursuing academic training on relevant frameworks and topics. By the end of the programme, students will be equipped with the knowledge, skills, and practical experience to become effective sustainability practitioners and advocates.","Triple Bottom Line & 3Ps, Sustainability analytics and planning, Transparency and reporting, Environment, social and governance (ESG) data","Critical thinking & problem solving, Collaboration and leadership, Communication, Understanding of global and Asian perspectives, Ethics and social responsibility, Understanding of sustainability issues, Self-directed learning, Resilience",PNP - Pass/Fail,"AREA - Business Options, AREA - Econ Major Rel/Econ Options, AREA - Political Science Electives, AREA - Politics, Law & Economics Electives, AREA - Social Sciences/PLE Major-related, AREA - Sustainability Management Electives, AREA - Sustainable Societies Electives, RQPR - Open to Undergraduates only, TRCK - PLE: Sustainable Futures Track",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=SSOC201,,,
SSOC202,SOSS,Overseas Project Experience (Sustainability Practices in Asia),"Innovation is essential to drive sustainability transitions, especially so in the under-considered contexts of the Global South. Sustainability transitions refer to deep systemic innovations in socio-technical and socio-economic systems for the provision of societal functions such as food, mobility, and energy (Köhler et al., 2019). The change in complex sociotechnical systems is usually confronted with conflicting economic and environmental goals, at least in certain phases of the transformation processes. By leveraging innovation, different countries in the Global South such as Indonesia can chart paths towards sustainable development that balance economic growth with environmental protection more coherently. At the same time, there has been a growing awareness in research and practice alike, that transformations to more sustainable societies can only be successful when they are inclusive. However, there are knowledge gaps in the domain of innovation for sustainability transitions (Tirado-Herreo & Fuller, 2021). Where sustainability transitions are happening, there is little data tracking progress and identifying areas/directions for accelerating sustainability transition. Addressing these knowledge gaps requires greater collaboration among different stakeholders to leverage their expertise and resources towards more effective and context-specific solutions tailored to the challenges and opportunities.

This course will allow students to focus on tackling sustainability challenges to help Asian private and public entities (the Client) to plan and strategize in pursuing sustainability transition. Through this course, participants will learn and apply problem-solving skills in tackling complex and sustainability challenges in a regional and local context.","Inclusivity and equitabilty, Sustainability analytics and planning, Sustainability Frameworks, Sustainable Development, Special Topics (environment, economics or society)","Multidisciplinary knowledge, Interdisciplinary knowledge, Critical thinking & problem solving, Innovation and enterprising skills, Collaboration and leadership, Communication, Intercultural understanding and sensitivity, Understanding of global and Asian perspectives, Ethics and social responsibility, Understanding of sustainability issues",GRD - Graded,"AREA - Asian Studies (Intake 2018 and earlier), AREA - Business Options, AREA - Global Asia Electives, AREA - Politics, Law & Economics Electives, AREA - Sustainable Societies Electives, RQPR - Open to Undergraduates only, TRCK - PLE: Sustainable Futures Track",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=SSOC202,,,
SSRM001,SOSS,Research Methods in the Social Sciences,"This course introduces students to the core methodological concepts and procedures used in empirical research in the social sciences. The course will cover the basic research methods in the social sciences, including both qualitative and quantitative approaches. Basic issues relating to the formulation of research questions, hypothesis generation and testing, research design, measurement, data collection, data analysis, substantive inference, communication of findings and ethical principles will be discussed. Applications in psychology, political science and sociology will be used to illustrate these issues.",-,-,GRD - Graded,"AREA - Business Options, AREA - Business-Oriented Electives/IS Options, AREA - Econ Major Rel/Econ Options, AREA - SOSC Core, ENRL - SS Enrolment: Open from BOSS 2, TRCK - Culture, Org & Behaviour Track (Social Science), TRCK - Public Policy, Devt, & Mgt Track (Social Science)",No,https://ccms.smu.edu.sg/courses?page=1&cq=SSRM001,,,IDIS100|PSYC110
SSW001,SOSS,Public Policy Roundtable,"Public policy has to contend with a world that is increasingly volatile, uncertain, complex and ambiguous (VUCA). While efficiency- and effectiveness-based approaches to policymaking continue to be necessary, they are also insufficient and need to be complemented by new ways of thinking. This workshop explores how some new approaches, including systems dynamics, design and futures thinking have been applied in recent policy cases.",Contact RO,Disciplinary knowledge,NPT - Not Printed,"AREA - Not Applicable, CTYP - Workshop, RQPR - Open to Undergraduates only, UNIT - 1.0 Unit",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=SSW001,,,
SSW002,SOSS,International and Asian Studies Workshop,"International and Asian Studies workshop consists of a series of seminar sessions where presentations will be followed by a discussion between speaker and participants. Topics discussed will be relevant to international relations, with a focus on Asia. Invited speakers will be practitioners and academics who will share their experience, reflections and insights in the conduct of international relations.",Contact RO,"Multidisciplinary knowledge, Disciplinary knowledge",NPT - Not Printed,"AREA - Not Applicable, CTYP - Workshop, RQPR - Open to Undergraduates only, UNIT - 1.0 Unit",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=SSW002,,,
STAT121,SOE,Cracking Statistics!,"Statistics abound in our lives, from economics to physics, from accountancy to medicine, and business to technology etc. Students will be introduced to basic to mid-level statistics, and gain a working competency in crunching data, statistical software and results management, as well as writing sound interpretations in decision-making situations.",-,-,GRD - Graded,AREA - Not Applicable,No,https://ccms.smu.edu.sg/courses?page=1&cq=STAT121,,,
STAT201,SOE,Probability Theory and Applications,"This course is to develop knowledge of the fundamental probability theory for quantitatively assessing the uncertain events.  The focus in each teaching topic is on the applications of the probability concepts in everyday life.  But practical problems encountered in actuarial science and finance are particularly emphasized.  Topics include overview of probability, probability distributions, mathematical expectation, some special discrete distributions, some continuous distributions, functions of random variables, sampling distributions, jointly distributed random variables, Limit theorems and stochastic process.","Financial Modelling, Critical Thinking, Business Risk Management, Financial Analysis, Data and Statistical Analysis","Multidisciplinary knowledge, Critical thinking & problem solving, Self-directed learning, Interdisciplinary knowledge",GRD - Graded,"AREA - Actuarial Science Core, AREA - Advanced Business Technology Major, AREA - Analytics Major, AREA - Applied Statistics Major, AREA - Business Options, AREA - Business-Oriented Electives, AREA - Data Science and Analytics Core, AREA - Econ Major Rel/Econ Options, AREA - Economics Electives, AREA - IS Related Courses, AREA - Politics, Law & Economics Electives, AREA - Social Sciences/PLE Major-related, ENRL - SS Enrolment: 6 ISEP; 1 SUSEP, RQCP - STAT101/102/151/COR-STAT1202, TRCK - Actuarial Science Major: Actuarial Analyst Track, TRCK - Actuarial Science Major: Risk Analyst Track, TRCK - PLE: Choice and Behaviour Track",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=STAT201,,,
STAT203,SOE,Financial Mathematics,"This course covers the following topics:
1) Introduction to interest rate, present value and future value, present value of cash flows and annuities 
2) Payment interval and interest-conversion interval, non-level annuities
3) Spot rates, forward rates and the term structure
4) Rates of return, internal rate of return (yield rate) and other measures of return
5) Loans, amortization schedule and sinking fund
6) Bonds and bond pricing 
7) Bond yield and the term structure
8) Bond management, duration, convexity and immunization
9) Futures, forward contracts, options and swaps","Financial Analysis, Critical Thinking, Business Risk Management, Financial Modelling, Macroeconomic Analysis","Interdisciplinary knowledge, Critical thinking & problem solving, Collaboration and leadership, Communication, Understanding of sustainability issues",GRD - Graded,"AREA - Actuarial Science Core, AREA - Business Options, AREA - Business-Oriented Electives, AREA - Econ Major Rel/Econ Options, AREA - Economics Electives, AREA - Finance Electives, AREA - Social Sciences/PLE Major-related, ENRL - SS Enrolment: 6 ISEP; 1 SUSEP, RQCP - MATH001/COR1201, TRCK - Actuarial Science Major: Actuarial Analyst Track, TRCK - Actuarial Science Major: Risk Analyst Track",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=STAT203,STAT310,,
STAT204,SOE,Survey Methods,"The rapid expansion of the sample survey research industry is expected to continue with Gallup, Nielsen, and other firms establishing their offices in this region. Advances in technology also call for different methods of data collection. This course discusses the various modes, such as personal interview, mail questionnaires, telephone interviews, internet, and even the use of mobile phone interviews. Importantly, this course also covers how to deal with non-response. Topics on survey methods include questionnaire design, sampling frame, how large a sample is needed, sources of errors in surveys and how to control them. In addition, the various types of probability sampling including simple random sampling, stratified random sampling, systematic sampling and cluster sampling are also discussed.","Critical Thinking, Analysis of Research Data, Data Analytics, Data Collection and Management, Data and Statistical Analysis","Disciplinary knowledge, Multidisciplinary knowledge, Interdisciplinary knowledge, Critical thinking & problem solving, Collaboration and leadership, Communication",GRD - Graded,"AREA - Analytics Major, AREA - Applied Statistics Major, AREA - Business Options, AREA - Business-Oriented Electives, AREA - Econ Major Rel/Econ Options, AREA - Social Sciences/PLE Major-related, ENRL - SS Enrolment: 6 ISEP; 1 SUSEP, RQCP - STAT101/102/151/COR-STAT1202",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=STAT204,,,
STAT205,SOE,Computational Statistics,"In this course, computationally intensive methods are used to, among other things, explore data, build statistical models and make statistical inferences. Some of the techniques covered in the course originally came from Statistical Computing but many techniques are designed to deal with the inherent computational intensity of the problems encountered in this field of study. Major topics covered in this first course include: Statistical Computing with R, Nonlinear Equations & Unconstrained Optimization, Random Variate Generation, Monte Carlo Methods and Bootstrap Techniques. Students taking this course should be prepared to write computer code to solve computing problems requiring customized solutions.",Analysis of Research Data,Disciplinary knowledge,GRD - Graded,"AREA - Advanced Business Technology Major, AREA - Analytics Major, AREA - Applied Statistics Major, AREA - Business Options, AREA - Business-Oriented Electives, AREA - Econ Major Rel/Econ Options, AREA - IS Related Courses, AREA - Social Sciences/PLE Major-related, ENRL - SS Enrolment: 6 ISEP; 1 SUSEP, RQCP - STAT101/102/151/COR-STAT1202",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=STAT205,,,
STAT301,SOE,Advanced Statistical Theory,"This course considers some important contemporary uses of statistical and probability theory. In this course, many of the concepts and methods will be illustrated using real problems and datasets. It will start by discussing from first principles the foundation of these modern methods, from basic probability theory. It will then take students through important concepts such as the principle of sufficiency and likelihood. Methods of point and interval estimation, and statistical hypothesis tests will be examined in detail. Contemporary methods such as: general estimating equations, the bootstrap, the EM-algorithm, rank based tests, will be discussed. Students who wish to take this course should have a solid foundation in calculus and probability and statistics acquired through foundation courses offered at SMU. This course is intended for students who wish to acquire an in-depth understanding of the underlying theories and principles in modern statistical methods. Students who are pursuing a quantitative major or who are considering graduate studies in a quantitative discipline are encouraged to take this course. Students who have completed this course should be able to: (i) Acquire an in-depth understanding of the theories, concepts and principles of some of the most important statistical estimation and hypothesis testing methods, (ii) Be able to apply the concepts acquired in this course to applications in real life problems, and (iii) Have the foundation to carry out graduate study in a field with a statistics concentration. Recommended Pre-requisite: Advanced Mathematics for Economics",Analysis of Research Data,Disciplinary knowledge,GRD - Graded,"AREA - Bus Stats & Actuarial Sc Major, AREA - Business Options, AREA - Business-Oriented Electives/IS Options, AREA - Econ Major Rel/Econ Options, AREA - Social Sciences/PLE Major-related, ENRL - SS Enrolment: 6 ISEP; 1 SUSEP, RQCP - STAT201",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=STAT301,,,
STAT306,SOE,Applied Stochastic Models,"Stochastic processes offer a powerful tool to model and examine complex problems in the domains of business, industry, economics, actuarial and social sciences. This course offers a practical treatment of the stochastic models commonly applied in these areas, including Markov chains in discrete and continuous time, Poisson processes, and renewal theory, with emphasis on the real-life applications in solving problems related to queueing systems, software reliability, inventory management, after market services, option pricing, sickness  and survival, social and occupational mobility, regime switching, etc. Students will be required to implement models using a software package such as R or Matlab.",Analysis of Research Data,Disciplinary knowledge,GRD - Graded,"AREA - Advanced Business Technology Major, AREA - Applied Statistics Major, AREA - Business Options, AREA - Business-Oriented Electives/IS Options, AREA - Econ Major Rel/Econ Options, AREA - IS Related Courses, AREA - Social Sciences/PLE Major-related, ENRL - SS Enrolment: 6 ISEP; 1 SUSEP, RQCP - STAT201",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=STAT306,,,
STAT310,SOE,Life Contingent Risks,"This course covers the construction of probability models for life contingencies with special reference to life insurance. The basic concepts and tools in survival-time random variables for one life and two lives will be discussed, as well as the specific statistical models such as uniform, constant force of mortality and hyperbolic. Topics also include analysis of life insurance and annuities, properties of their present-value random variables, computation of premiums using the Equivalence Principle and Percentile Principle, the present value of future loss, expense-loaded liabilities and the recursion method for the calculation of reserves.","Critical Thinking, Conceptual Thinking, Financial Modelling, Financial Analysis, Data and Statistical Analysis","Disciplinary knowledge, Critical thinking & problem solving, Communication",GRD - Graded,"AREA - Actuarial Science Core, AREA - Applied Statistics Major, AREA - Business Options, AREA - Business-Oriented Electives, AREA - Econ Major Rel/Econ Options, AREA - Finance Electives, AREA - Social Sciences/PLE Major-related, ENRL - SS Enrolment: 6 ISEP; 1 SUSEP, RQCP - STAT201, RQCP - STAT203, TRCK - Actuarial Science Major: Actuarial Analyst Track, TRCK - Actuarial Science Major: Risk Analyst Track",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=STAT310,,,
STAT311,SOE,Risk Theory and Loss Models,"This course covers the following topics: insurance loss models, claim frequency and claim severity distributions, mixture distributions and compound distributions, tail properties of distributions, evaluation and impacts of coverage modifications, deductibles, policy limits and coinsurance, theory of risk measures, VaR and CTE, credibility theory: classical approach, Buhlmann and Buhlmann-Straub models, and Bayesian approach, empirical implementation of credibility: nonparametric, semi-parametric and parametric methods.","Financial Analysis, Financial Modelling, Critical Thinking, Conceptual Thinking, Data and Statistical Analysis","Interdisciplinary knowledge, Critical thinking & problem solving, Collaboration and leadership, Communication",GRD - Graded,"AREA - Actuarial Science Core, AREA - Applied Statistics Major, AREA - Business Options, AREA - Business-Oriented Electives, AREA - Econ Major Rel/Econ Options, AREA - Finance Electives, AREA - Social Sciences/PLE Major-related, ENRL - SS Enrolment: 6 ISEP; 1 SUSEP, RQCP - DSA201, RQCP - STAT201, TRCK - Actuarial Science Major: Actuarial Analyst Track, TRCK - Actuarial Science Major: Risk Analyst Track",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=STAT311,,,
STAT312,SOE,Applied Regression Methods,"This course fully prepares students to apply statistical methods for decision-making, using primarily regression analysis and modeling. Upon completion of this course, they should be able to help decision makers understand, analyze, and interpret business data and make informed decisions in uncertain settings, in problems like: Business: cost analysis, predicting sales, stock prices, etc., using linear or transformed linear regression; Economics: analyzing economic indicators, incomes, expenditures, firm sizes, etc., using linear of transformed linear regression; Social Sciences: modeling mental health, political ideology and party affiliation, job satisfaction and income, etc., using logistic regression; Information Systems: machine learning, neural network, etc., using linear or logistic regression; Accountancy: estimating the probability of bankruptcies, estimating bond ratings (AAA, AA, CCC), etc., using ordered logistic regression model.",Analysis of Research Data,Disciplinary knowledge,GRD - Graded,"AREA - Advanced Business Technology Major, AREA - Analytics Major, AREA - Applied Statistics Major, AREA - Business Options, AREA - Business-Oriented Electives, AREA - Econ Major Rel/Econ Options, AREA - IS Related Courses, AREA - Social Sciences/PLE Major-related, ENRL - SS Enrolment: 6 ISEP; 1 SUSEP, RQCP - STAT101/102/151/COR-STAT1202, TRCK - Analytics Major: Advanced Technology Track",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=STAT312,ECON233,,
STAT313,SOE,Quantitative Risk Analysis,"This course covers measures that quantify major risk exposures arising from financial and non-financial risks, such as market risk, interest rate risk, liquidity risk, operational risk and model risk.   The topics include variance-covariance method, historical simulation, Monte Carlo, backtesting, statistical calibration strategies, GARCH models, copulas and extreme value theory.",Analysis of Research Data,Disciplinary knowledge,GRD - Graded,"AREA - Actuarial Science Core, AREA - Advanced Business Technology Major, AREA - Analytics Major, AREA - Applied Statistics Major, AREA - Business Options, AREA - Business-Oriented Electives, AREA - Econ Major Rel/Econ Options, AREA - IS Related Courses, AREA - Quantitative Finance Electives, AREA - Social Sciences/PLE Major-related, ENRL - SS Enrolment: 6 ISEP; 1 SUSEP, RQCP - STAT201, TRCK - Actuarial Science Major: Risk Analyst Track, TRCK - Finance Major: Financial Risk Analysis Track",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=STAT313,,,
STAT314,SOE,Statistical Methods for Actuarial Analysis,"This course provides an introduction to the statistical data analysis for life and nonlife actuarial models. The contents include: categories of loss data: complete data, grouped data and truncated data; estimation of loss models: maximum likelihood estimation method, method of moments and nonparametric methods; empirical distribution function; Kaplan-Meier estimator and Nelson-Aalen estimator; model diagnostics: goodness-of-fit-test, Anderson-Darling test, Kolmogorov-Smirnov test and likelihood ratio test; Monte Carlo methods: random number generators, variance reduction techniques and bootstrap methods.",Analysis of Research Data,Disciplinary knowledge,GRD - Graded,"AREA - Actuarial Science Major, AREA - Applied Statistics Major, AREA - Business Options, AREA - Business-Oriented Electives/IS Options, AREA - Econ Major Rel/Econ Options, AREA - Finance Major, AREA - Social Sciences/PLE Major-related, ENRL - SS Enrolment: 6 ISEP; 1 SUSEP, RQCP - STAT201",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=STAT314,,,
STAT401,SOE,Actuarial Science Work-Study Elective,"SMU will partner with leading insurance, re-insurance, and financial companies to provide practical training in actuarial field.  By taking the course, students will be engaged in a structured work experience with a partner firm for four days per week for a minimum of 20 weeks.  The partner firm will evaluate the student's performance, and the student will eventually receive a Pass/Fail grade for the course.  It is open to all SMU students, but preference is given to Actuarial Science students.","Financial Modelling, Critical Thinking, Data and Statistical Analysis, Management of Stakeholders, Business Data Analysis","Disciplinary knowledge, Interdisciplinary knowledge, Critical thinking & problem solving, Collaboration and leadership, Communication, Self-directed learning, Resilience",PNP - Pass/Fail,"AREA - Not Applicable, RQPR - Open to Undergraduates only, TRCK - Actuarial Science Major: Industry Intgrt Track",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=STAT401,,,
STEC202,SOSS,Environmental Science,"The heart of the course lies in the science of the natural environment. Summative evaluation of all major topics will be drawn towards two laws of nature: conservation and transformation. Two concepts will persist: interconnectedness and sustainability; confirming the former and questioning the latter. As diverse and varied environmental matters are, this course shall focus on the earth's resources. Embedded in the module are societal-technological issues relevant and peculiar to an environmental concern. ""The earth is our life-support system.""  This is the crux statement that would validate your taking this course. 
This course is part of the General Education (GE) curriculum focused on a science-based study of the environment. It is part and parcel of the SMU's holistic thrust to produce dynamic business leaders and creative entrepreneurs with a solid foundation in all curricular undertakings.",-,-,GRD - Graded,"AREA - General Education - Science, AREA - Politics, Law & Economics Electives, ENRL - SS Enrolment: 4 ISEP; 1 SUSEP, TRCK - PLE: Sustainable Futures Track",No,https://ccms.smu.edu.sg/courses?page=1&cq=STEC202,,,
STEC204,LKCSB,Physics for Managers,"This course explores some of the physical concepts that have come to shape our current view of the physical universe, a view that is still emerging. Readings will include expository material on the physics topics as well as some biography, history, philosophy, literature, and current scientific events. 

The course will focus primarily on five themes: (1) Conservation of Energy, (2) The Second Law of Thermodynamics, (3) Special Relativity, (4) Quantum Mechanics, and (5) String Theory.",-,-,GRD - Graded,"AREA - General Education - Science, ENRL - SS Enrolment: 6 ISEP; 1 SUSEP",No,https://ccms.smu.edu.sg/courses?page=1&cq=STEC204,,,
STEC205,LKCSB,"From Gene, Cell to Final Products - Introduction to Life Sciences",Students after completing the course are able to appreciate and have basic understanding of the biosciences and the commercial application of agri-biotechnology in the production of enhanced agro-products for the competitive markets. There will be a Field Trip which will allow the students to see the agronomic and practical aspects of crops' production.,Contact RO,Disciplinary knowledge,GRD - Graded,"AREA - General Education - Science, RQPR - Open to Undergraduates only",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=STEC205,,,
STEC206,SOSS,Introduction to Physical Science,"This course covers the basic concepts in the areas of Chemistry, Physics, Astronomy, Meteorology and Geology.  A unifying theme runs through the five sciences:  MOTION.  This is an attempt to depict the dynamism of our physical world. The course storyline begins at the micro level so as to understand systems at the macro level.

This is a course under the General Education (GE) curriculum which covers a conceptual survey of the physical sciences. Congruent with SMU's mission, this curricular undertaking upholds the need to create world-class citizens – global citizens in touch with current and relevant concerns in the sciences.",-,-,GRD - Graded,"AREA - General Education - Science, ENRL - SS Enrolment: 4 ISEP; 1 SUSEP",No,https://ccms.smu.edu.sg/courses?page=1&cq=STEC206,,,
STEC207,LKCSB,Science Exploration and Society,"This course adopts the framework of Science, technology, society and environment (STSE) education. Over the last two decades, STSE education has taken a prominent position in the science curricula of different parts of the world, such as Australia, Europe, the UK, Canada and USA. In the context of STSE education, the goals of teaching and learning are largely directed towards engendering cultural and dialectical notions of scientific literacy and formulating knowledge and skills that are essential to the economic growth and effective competition within the global market place.",Contact RO,Disciplinary knowledge,GRD - Graded,"AREA - General Education - Science, RQPR - Open to Undergraduates only",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=STEC207,,,
STEC208,LKCSB,"Introduction to Our Quantum World: Concepts, Principles and Applications","Introduction to Our Quantum World: Concepts, Principles and Applications",-,-,GRD - Graded,"AREA - General Education - Science, ENRL - SS Enrolment: 6 ISEP; 1 SUSEP",No,https://ccms.smu.edu.sg/courses?page=1&cq=STEC208,,,
STEC209,SOSS,Biological Models for Business Applications,"This course explores the many similarities and analogies between business, and the various disciplines of biology, such as ecosystem theory, evolutionary biology, and genetics. We will examine how thought in biology has influenced economic thought and vice versa. We will study the tools and models developed for biological problems, and examine whether we can draw valid analogies for economic problems. We will make specific comparisons between situations found in business and biology.

The business world and the world of living beings – biology – resemble each other fundamentally. In both these systems, numerous self-interested independent actors interact spontaneously to form complex and dynamic, yet ordered systems. And in both biology and business, we ask: How can we understand the workings of these systems? How do we make them work for us?  

The course also includes insights into hot topics in the study of biological systems – fitness landscapes, complexity theory, fractals, and chaos theory – and how they may apply to business problem solving.",-,-,GRD - Graded,"AREA - General Education - Science, ENRL - SS Enrolment: 4 ISEP; 1 SUSEP",No,https://ccms.smu.edu.sg/courses?page=1&cq=STEC209,,,
STEC210,SOSS,Biotechnology and Bioentrepreneurship,"This is a foundation course in Biotechnology which provides an understanding of Biotechnology with specific reference to its applications in the production of biopharmaceuticals, diagnostics, medical devices and stem cell transplants.

The final session is on Bioentrepreneurship which provides an understanding on what it takes to be a bioentrepreneur in a dynamic scientific environment.",-,-,GRD - Graded,"AREA - General Education - Science, ENRL - SS Enrolment: 4 ISEP; 1 SUSEP",No,https://ccms.smu.edu.sg/courses?page=1&cq=STEC210,,,
